City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
603,Miri,MY,82.54,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
605,Monrovia,LR,78.21,light rain,6.3005,-10.7969,Sunset Inn
607,Maceio,BR,79.12,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
610,Diu,IN,83.7,clear sky,20.7141,70.9822,Hotel Relax Inn
613,Namatanai,PG,82.36,light rain,-3.6667,152.4333,Seagulls Inn Namatani
615,Dicabisagan,PH,76.5,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
617,Ouesso,CG,76.14,overcast clouds,1.6136,16.0517,ABENIE Hotel
630,Junagadh,IN,84.45,clear sky,21.5167,70.4667,Click Hotel Junagadh
634,Ambilobe,MG,82.36,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
635,Quelimane,MZ,77.65,light rain,-17.8786,36.8883,Hotel Flamingo
637,Cumana,VE,75.65,overcast clouds,10.4635,-64.1775,Posada Acuarela Los Roques
662,Noumea,NC,81.72,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
676,Kirakira,SB,81.09,moderate rain,-10.4544,161.9205,SanBiz Lodge
677,Xam Nua,LA,76.73,scattered clouds,20.4197,104.0439,Xee Wang Guesthouse
679,Moindou,NC,82.35,overcast clouds,-21.6924,165.677,Equi-lodge de Moindou
688,Phatthalung,TH,78.49,overcast clouds,7.5,100.0833,Ozone Resort & Pool Villa
694,Santa Cruz,BO,75.51,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
