City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
220,Horsham,GB,51.064,-0.3272,38.3,69,2,13.91,clear sky
221,Teya,RU,60.3778,92.6267,16.9,88,100,6.82,overcast clouds
222,Noyabrsk,RU,63.1994,75.4507,24.55,93,100,18.07,overcast clouds
223,Xining,CN,36.6167,101.7667,37.56,26,98,3.87,overcast clouds
224,Kumano,JP,34.3442,132.5894,52.72,43,7,8.52,clear sky
225,Jaisalmer,IN,26.9147,70.9181,68.76,40,0,17.72,clear sky
226,Bondowoso,ID,-7.9135,113.8214,85.35,65,76,4.99,broken clouds
227,Albany,US,42.6001,-73.9662,13.57,95,17,3.69,few clouds
228,Okmulgee,US,35.6234,-95.9605,25.2,94,8,3.98,clear sky
229,Smiths Falls,CA,44.9001,-76.0161,20.95,84,60,13.76,broken clouds
230,Witten,DE,51.4333,7.3333,34.14,81,1,5.06,clear sky
231,Padang,ID,-0.9492,100.3543,86.86,62,68,6.78,broken clouds
232,Chumikan,RU,54.7183,135.315,8.83,59,62,9.13,broken clouds
233,Monroe,US,43.1501,-77.6831,22.19,82,42,16.4,scattered clouds
234,Kruisfontein,ZA,-34.0033,24.7314,68.65,88,99,13.51,overcast clouds
235,Tura,IN,25.5198,90.2201,77.92,29,0,4.9,clear sky
236,Muzhi,RU,65.3667,64.6667,26.01,78,99,18.92,overcast clouds
237,Cabo San Lucas,MX,22.8909,-109.9124,69.51,76,98,4.14,overcast clouds
238,Klaksvik,FO,62.2266,-6.589,39.2,95,100,22.79,overcast clouds
239,Gizo,SB,-8.103,156.8419,80.44,87,97,15.82,moderate rain
240,Bushehr,IR,28.9684,50.8385,66.22,72,0,8.08,clear sky
241,Sao Pedro Do Piaui,BR,-5.9294,-42.7186,72.79,87,62,2.62,broken clouds
242,Buta,CD,2.7858,24.73,75.88,56,99,2.26,overcast clouds
243,Broken Hill,AU,-31.95,141.4333,92.35,19,60,13.78,broken clouds
244,Chapais,CA,49.7834,-74.8492,16.45,93,100,11.56,light snow
245,Sidi Ali,DZ,36.0998,0.4206,52.75,87,100,3.06,overcast clouds
246,Port Moresby,PG,-9.4431,147.1797,85.17,64,77,15.52,broken clouds
247,Portland,US,45.5234,-122.6762,40.24,84,100,3.96,overcast clouds
248,Felanitx,ES,39.4696,3.1483,46.24,54,77,9.53,broken clouds
249,Mazamari,PE,-11.3258,-74.5308,67.86,99,100,0.69,overcast clouds
250,Korla,CN,41.7597,86.1469,42.84,30,37,2.93,scattered clouds
251,Avanigadda,IN,16.0215,80.9181,86.14,36,10,8.23,clear sky
252,Broome,US,42.2506,-75.833,25.57,71,100,12.66,overcast clouds
253,Husavik,IS,66.0449,-17.3389,28.31,85,100,10.0,overcast clouds
254,Mamlyutka,KZ,54.9375,68.5394,14.27,94,24,8.9,few clouds
255,Sisimiut,GL,66.9395,-53.6735,-11.15,91,97,5.06,overcast clouds
256,Papagaios,BR,-19.4492,-44.7478,66.6,89,62,4.29,broken clouds
257,Salalah,OM,17.0151,54.0924,77.09,57,67,2.3,broken clouds
258,Sistranda,NO,63.7256,8.834,39.56,66,100,12.28,overcast clouds
259,Trincomalee,LK,8.5711,81.2335,82.17,63,14,15.3,few clouds
260,Saldanha,ZA,-33.0117,17.9442,66.15,79,0,7.25,clear sky
261,Sao Geraldo Do Araguaia,BR,-6.4006,-48.555,73.85,95,100,1.59,overcast clouds
262,Narsaq,GL,60.9167,-46.05,3.54,92,100,1.36,overcast clouds
263,Roald,NO,62.5833,6.1333,48.34,43,100,24.16,overcast clouds
264,Honningsvag,NO,70.9821,25.9704,40.24,88,100,42.37,overcast clouds
265,Tambongon,PH,10.9677,123.9244,83.23,70,70,12.64,light rain
266,Bulungu,CD,-4.55,18.6,70.41,96,89,2.46,overcast clouds
267,Mankono,CI,8.0586,-6.1897,74.97,79,35,4.81,scattered clouds
268,Marica,BR,-22.9194,-42.8186,73.35,91,3,4.74,clear sky
269,Hobyo,SO,5.3505,48.5268,79.95,69,91,15.14,overcast clouds
270,Rocha,UY,-34.4833,-54.3333,70.5,94,100,6.17,moderate rain
271,Urumqi,CN,43.801,87.6005,30.7,67,50,5.82,scattered clouds
272,Banepa,NP,27.6298,85.5214,59.32,55,75,3.44,haze
273,Victoria,HK,22.2855,114.1577,76.08,71,59,5.01,broken clouds
274,Mogadishu,SO,2.0371,45.3438,80.53,71,97,14.47,overcast clouds
275,Raduzhnyy,RU,62.0961,77.475,23.86,93,100,14.72,overcast clouds
276,Manggar,ID,-2.8833,108.2667,85.8,63,71,7.83,broken clouds
277,Bida,NG,9.0833,6.0167,73.33,19,5,1.25,clear sky
278,Mukdahan,TH,16.5833,104.5,83.39,45,96,10.54,overcast clouds
